Åarjelsaemien gïele	Nöörjen gïele	Sveerjen gïele	Synonyjme	Baakoen definssjovne saemien gïelesne/Åarjelsaemien jiehtegh	Baakoen definisjovne daaroen gïelesne/Daaroen jiehtegh	Baakoe-tjïerte	Baakoen syjjehtimmie	Baakoen gaaltije	Statuse	Midgard	Siebr.	Kapittel	Side	
aktanidh	å stå samlet	att stå samlade	aktanadtedh			verb	aktanidh, aktene, aktani, aktanamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
gïerehtehteme-dahkoe	utryddelseaksjon	utrotningsaktion				sammensatt substantiv av gïerehtehteme av gïerehtehtedh + dahkoe	gïerehtehteme-dahkoe, gïerehtehteme-dahkose	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
trumhpiestidh	tvangsflytte	tvångsförflytta				verb	trumhpiestidh, trumhpeste, trumhpiesti, trumhpiestamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
reservate	reservat	reservat				substantiv	reservate, reservatese	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
vaarjelidh	sikre	säkerställa		Edtji indianeri dajvh vaarjelidh.	Man skulle sikre indianernes land.	verb	vaarjelidh, vaarjele, vaarjeli, vaarjelamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
gorredidh	opprettholde	upprätthålla				verb	gorredidh, gorrede, gorredi, gorredamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 23	
illeldahke	løsning	lösning		Illeldahke sjïdti slaavh nuhtjedh.	Løsningen ble å bruke slaver.	substantiv	illeldahke, illeldahkese	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 24	
slaave-aajhtere	slaveeiere	slavägare				sammensatt substantiv av slaave + aajhtere	slaave-aajhtere, slaave-aajhterasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 24	
mïrrestalledh	på lik linje	på samma nivå		Slaavh dyrigujmie mïrrestallin.	Slaver var på lik linje med dyr.	verb	mïrrestalledh, mïrrestalla, mïrrestalli, mïrrestalleme	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 24	
orrijidh	oppheve	upphöra		Slaaverije jaepine 1865 orriji.	Slaveriet ble opphevet 1865.	verb	orrijidh, orrije, orriji, orrijamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 24	
slaaverije	slaveri	slaveri				substantiv av slaave	slaaverije, slaaverijese	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 24	
gueredh	bli kidnappet	bli kidnappad				verb	gueredh, guara, guerieji, guareme.	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 24	
tjirkije	forkjemper	förkämpe				substantiv	tjirkije, tjirkijasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 24	
rorvedh	foretrekke	föredra		Dah jaamemem rorvin.	De foretrakk døden.	verb	rorvedh, rorvoe, rorvi, rorveme	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 24	
ïedtje	drivkraft	drivkraft				substantiv	ïedtje, ïedtjese	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 25	
jaameme-låhkoe	dødstall	dödstal				sammensatt substantiv av jaameme + låhkoe	jaameme-låhkoe, jaameme-låhkose	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 26	
kreajnoehtidh	argumentere	argumentera	kreajnahtidh, dïejveldidh			verb	kreajnoehtidh, kreajnohte, kreajnoehti, kreajnoehtamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Amerikansie revolusjonen	side 26	
beetneh-neavroe	pengenød	penningnöd				sammensatt substantiv av beetneh + neavroe	beetneh-neavroe, beetneh-neavrose	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 27	
staate-kaassa	statskasse	statskassa				sammensatt substantiv av staate + kaassa	staate-kaassa, staate-kaassese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 27	
döömeldihkie	bunnskrapt	bottenskrapad		Staate-kaassa lij döömeldihkie.	Statskassen var bunnskrapt.	adjektiv av döömedh		Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 27	
skaehtie-öörnege	skatteordning	skatteordning				sammensatt substantiv av skaehtie + öörnege	skaehtie-öörnege, skaehtie-öörnegasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 27	
plonterdimmie	misnøye	missnöje				substantiv av plonterdidh	plonterdidh, plonterde, plonterdi, plonterdamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 27	
barkoe-namhtah	arbeidsledighet	arbetslöshet	barka-namhtah	Gaajh jïjnje almetjh lin barkoe-namhtah.	Arbeidsledigheten var enorm.	sammensatt substantiv av barkoe + namhtah	barkoe-namhtah, barkoe-namhtese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 27	
raeriestidh	foreslå	föreslå				verb	raeriestidh, raereste, raeriesti, raeriestamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 27	
gåhtjodh	innkalle	inkalla				verb	gåhtjodh, gohtje, gåhtjoeji, gohtjeme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 28	
vaeltie-voete	geistlighet	överhet				substantiv av vaeltie + voete	vaeltie-voete, vaeltievoetese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 28	
våalohke-voete	pomp og prakt	pompa och ståt				substantiv av våalohke-voete	våalohke-voete, våalohke-voetese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 28	
stujmie	opptøyer	uppror				substantiv	stujmie, ståjman	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 28	
stujmie-foeve	opprørsk folkemasse	upprorisk folkmassa				sammensatt substantiv av stujmie + foeve	stujmie-foeve, stujmie-foevese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 29	
båarka	festning	fästning				substantiv	båarka, båarkese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 29	
kommandaante	kommandant	kommendant				substantiv	kommandaante, kommandaantese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 29	
gaajegovvedh	gå voldsomt fram	går fram våldsamt	gaajegostedh, vuaralidh			verb	gaajegovvedh, gaajegåvva, gaajegovvi, gaajegovveme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 29	
militære-dåehkie	tropp	trupp				sammensatt substantiv av militære + dåehkie	militære-dåehkie, militære-dåahkan	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 29	
dåaroe-foeve	militærstyrke	militärstyrka				sammensatt substantiv av dåaroe + foeve	dåaroe-foeve, dåaroe-foevese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 29	
nasjonaale-foeve	nasjonalgarde	nationalgarde				sammensatt substantiv av nasjovnaale + foeve	nasjovnaale-foeve, nasjovnaale-foevese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 29	
hahkehtimmie	kupp	kupp				substantiv av hahkehtidh	hahkehtimmie, hahkehtæmman	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 29	
sjïere-reakta	særrettighet	företrädesrätt				sammensatt substantiv av sjïere-reakta	sjïere-reakta, sjïere-reaktese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 30	
tsööre-gaertene	herregård	herrgård	tjööre-gaertene			sammensatt substantiv av tsööre + gaertene	tsööre-gaertene, tsööre-gaertenasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 30	
stoere-båarka	godseier	godsägare	stoere-båarke			sammensatt substantiv av stoere + båarka	stoere-båarka, stoere-båarkese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 30	
jïjtjereereme-bæjhkoehtimmie	uavheninghetserklæring	självständighetsförklaring				sammensatt substantiv av jïjtje + reereme + bæjhkoehtimmie	jïjtjereereme-bæjhkoehtimmie, jïjtjereereme-bæjhkoehtæmman	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 30	
tsïhkese	opphav	upphov	tsïhke	Faamoen tsïhkese lea almetji luvnie.	Opphavet til all makt ligger hos folket.	substantiv	tsïhkese, tsïhkesasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 30	
almetje-vælja	folkevilje	folkvilja	almetje-väljoe			sammensatt substantiv av almetje + vælja	almetje-vælja, almetje-væljese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 30	
skaepiedidh	utforme	utforma		Meatan årrodh skaepiedidh.	Være med på å utforme.	verb	skaepiedidh, skaepede, skaepiedi, skaepiedamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 30	
nuepie	adgang	tillgång		Nuepiem byjjes barkojde utnedh.	Ha adgang til offentlige stillinger.	substantiv	nuepie, nuapan	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 30	
nyjsenæjja-raajroe	kvinnetog	kvinnotåg				sammensatt substantiv av nyjsenæjja + raajroe	nyjsenæjja-raajroe, nyjsenæjja-raajrose	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 31	
beapmoe-åasa	matpris	matpris				sammensatt substantiv av beapmoe + åasa	beapmoe-åasa, beapmoe-åasese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 31	
daltedidh	marsjere	marchera				verb	daltedidh, daltede, daltedi, daltedamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 31	
dåarjelgidh	bli støttet	bli understödd		Nasjovnale-krirrie dejtie dåarjelgi.	De ble støttet av nasjonalgarden.	verb av dåarjelidh	dåarjelgidh, dåarjelge, dåarjelgi, dåarjelgamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 31	
laejpie-maksovh	brødforsyning	brödtillförsel	jamfør gïjre maksovh = proviant for våren	Dah laejpie-maksovh luhpiedin.	De lovet brødforsyning.	sammensatt substantiv av laejpie + maksovh	laejpie-maksovh, laejpie-maksovidie	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 31	
demonstrante	demonstrant	demonstrant				substantiv	demonstrante, demonstrantese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 31	
gånka-fuelhkie	kongefamilie	kungafamilj				sammensatt substantiv av gånka + fuelhkie	gånka-fuelhkie, gånka-fualhkan	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 31	
dåaroem aelkedh	gå til krig	gå till krig				frase		Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 32	
dåaroe	krigføring	krigföring				substantiv	dåaroe, dåarose	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 32	
stuvreme	overtak	övertag		Dah stuvremem utnieh.	De har overtaket.	substantiv av stuvredh	stuvreme, stuvremasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 32	
österrijhkiske	østerrikisk	österrikisk				adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 32	
vueliemdidh	bli henrettet	bli avrättad	vueliedidh			verb	vueliemdidh, vuelemde, vueliemdi, vueliemdamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 32	
julmie	terror	terror				substantiv	julmie, jålman	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 32	
julmie-reereme	terrorvelde	terrorvälde				sammensatt substantiv av julmie + reereme	julmie-reereme, julmie-reeremasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 32	
tjanhkoe	motstand	motstånd				substantiv	tjanhkoe, tjanhkose	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 32	
jiermiehtovvedh	gå for langt 	gå för långt	jiermiehtoevedh	Revolusjovnem jiermiehtovvin.	Revolusjonen gikk for langt.	verb	jiermiehtovvedh, jiermiehtåvva, jiermiehtovvi, jiermiehtovveme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 32	
konvente	konvent	konvent				substantiv	konvente, konventese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 32	
tjïmkes-ligke	systematisk	systematisk		Akte tjïmkes-ligke væjroe gijhtsie-nïeri mietie.	En systematisk jakt på motstandere.	adverb		Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 33	
sjuejmieh	begeistring	hänförelse		Dåarohke lea sjuejmine.	Soldaten er full av begeistring.	adjektiv	sjuejmieh, sjuejmine	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 33	
viesjliedidh	mislike	misstycka				verb	viesjliedidh viesjlede, viesjliedi, viesjliedamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 33	
Bastilje	Bastillen	Bastiljen				substantiv	Bastilje, Bastiljese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 34	
jaame-bysvehts	dødstraff	dödsstraff				sammensatt substantiv av jaame + bysvehts	jaame-bysvehts, jaame-bysvehtsasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 34	
habjoe-laakan	kaotisk	kaotisk		Tsiehkie lij habjoe-laakan.	Situationen var kaotisk.	adverb		Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
tsaepmedh	slå ned	slå ned		Orre stujmieh tsaepmedh.	Slå ned nye opprør.	verb	tsaepmedh, tsaapma, tsaepmieji/tseepmi, tsaapmeme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
artillerije-offisere	artillerioffiser	artilleriofficer				sammensatt substantiv av artillerije + offisere	artillerije-offisere, artillerije-offiserese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
artillerije 	artilleri 	artilleri 				substantiv	artillerije, artillerijese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
militære-akademije	militærakademi	militärakademi				sammensatt substantiv av militære + akademije	militære-akademije, militære-akademije	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
dåaroe-foeve	arme	armé	dåara-foeve			sammensatt substantiv av dåaroe + foeve	dåaroe-foeve, dåaroe-foevese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
bæjjanidh	stige i grad, avansere	stiga i graderna, avancera		Dïhte sneehpes-ligke bæjjani.	Han steg raskt i gradene.	verb	bæjjanidh, bæjjene, bæjjani, bæjjanamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
generaale	general	general				substantiv	generaale, generaalese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
håajhtodh	beseire, slå noen i krig	besegra, slå ngn i krig				verb	håajhtodh, hååjhte, håajhti, hååjhteme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
staate-hahkehtimmie	statskupp	statskupp				sammensatt substantiv av staate + hahkehtimmie	staate-hahkehtimmie, staate-hahkehtæmman	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
salkehtidh	skape ro og orden	skapa ordning och reda				verb	salkehtidh, salkehte, salkehti, salkehtamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
staate-åvtehke	statsleder	statsledare				sammensatt substantiv av staate + åvtehke	staate-åvtehke, staate-åvtehkasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
Napoleonen laake-gærja	Napoleons lovbok	Napoleons lagbok				frase		Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
skuvle-öörnege	skolesystem	skolsystem				sammensatt substantiv av skuvle + öörnege	skuvle-öörnege,  skuvle-öörnegasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
foeve	hær 	här				substantiv	foeve, foevese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
foeve-åvtehke	hærleder	härledare				sammensatt substantiv av foeve + åvtehke	foeve-åvtehke, foeve-åvtehkasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
diktatovre	diktator	diktator				substantiv	diktatovre, diktatovrese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
jielede-tïjje	livstid	livstid				sammensatt substantiv av jielede + tïjje	jielede-tïjje, jielede-tïjjese	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
ålmege-stuvreme	folkestyre	folkstyre				sammensatt substantiv av ålmege + stuvreme	ålmege-stuvreme, ålmege-stuvremasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
nammoehtovvedh	bli utnevnt	bli utnämnd		Napoleone nammoehtovvi.	Napoleon ble utnevnt.	verb	nammoehtovvedh, nammoehtåvva, nammoehtovvi, nammoehtovveme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 35	
haeliedidh	være sulten	vara hungrig		Napoleon vitnemen haeliedi.	Napolen var sulten på seier.	verb	haeliedidh, haelede, haeliedi, haeliedamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 36	
ov-teehpeldh	uovervinnelig	oövervinnlig				adjektiv av teehpedh		Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 36	
jarkelimmie-mierie	vendepunkt	vändpunkt				sammensatt substantiv av jarkelimmie + mierie	jarkelimmie-mierie, jarkelimmie-mearan	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 36	
gæmhpome-væljoe	kampvilje	kampvilja				sammensatt substantiv av gæmhpome + væljoe	gæmhpome-væljoe, gæmhpome-væljose	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 36	
russlaantehke	russer	ryss				substantiv	russlantehke, russlantehkasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 36	
gijhnedh	trekke tilbake, retirere	dra tillbaka, retirera				verb	gijhnedh, gijhnije, gijhni, gijhneme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 36	
åhtjasjidh	undervurdere	undervärdera				verb	åhtjasjidh, åhtjesje, åhtjasji, åhtjasjamme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 36	
laavseldihkie	ydmyket	förödmjukad				adjektiv av laavsedh		Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 37	
hajkelimmie	flukt	flykt	reapanimmie, baatarimmie	Dejtie hajkelæmman jååkin.	De ble jaget på flukt.	substantiv av hajkelidh	hajkelimmie, hajkelæmman	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 37	
traasmeme	nederlag	nederlag				substantiv av traasmedh	traasmeme, traasmamasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 37	
positijve	positiv	positiv				adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 37	
negatijve	negativ	negativ				adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 37	
soejkesje	tendens	tendens		Gaaltije soejkesjem åtna.	Kilden har en tendens	substantiv	soejkesje, soejkesjasse	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 37	
baajhtaldalledh	bli forvist	bli förvisad		Dam St. Helenese baajhtaldallin.	Han ble forvist til St. Helena.	verb	baajhtaldalledh, baajhtaldalla, baajhtaldalli, baajhtaldalleme	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 38	
dåaroe	felttog	fälttåg				substantiv	dåaroe, dåarose	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 38	
faamoe-aavojne	maktsyk	maktlysten				adjektiv		Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 38	
jååhkesjimmie	gjennomslag	genomslag				substantiv	jååhkesjimmie, jååhkesjæmman	Elgå ref. gruppe	Til godkjenning		Historie 8	Franske revolusjonen	side 39	
hïeje-biejjie	festdag	festdag				sammensatt substantiv av hïeje + biejjie	hïeje-biejjie, hïeje-beajjan	Elgå ref. gruppe	Til godkjenning		Historie 8	En norsk revolusjon	side 40	
gaevnjieruktie	tog	tåg		Maanah gaevnjieruktesne vaedtsieh.	Barn går i tog.	substantiv	gaevnjieruktie, gaevnjieråktan	Elgå ref. gruppe	Til godkjenning		Historie 8	En norsk revolusjon	side 40	
korpse	korps	musikkår				substantiv	korpse, korpsese	Elgå ref. gruppe	Til godkjenning		Historie 8	En norsk revolusjon	side 40	
